"","pop","income","ipaddr","ufo2010","infections"
"Sullivan, NewYork",76793,48303,49798,8,60
"Sumter, Florida",101620,44817,46639,4,45
"Sumter, SouthCarolina",108052,40542,65127,6,158
"Surry, NorthCarolina",73561,36788,49335,2,66
"Sutter, California",95022,50010,45527,9,56
"Talladega, Alabama",81762,36609,73588,1,71
"Tangipahoa, Louisiana",123441,40214,165752,7,121
"Terrebonne, Louisiana",111893,48166,78508,1,109
"TomGreen, Texas",113281,43465,82022,11,93
"Tompkins, NewYork",102554,49789,413788,14,84
"Tuscarawas, Ohio",92392,42846,62794,1,75
"TwinFalls, Idaho",78595,43146,52909,2,75
"Umatilla, Oregon",76820,45911,41744,12,54
"Valencia, NewMexico",76631,41388,36827,4,22
"VanBuren, Michigan",75454,44428,33361,7,30
"Vermilion, Illinois",80727,40463,41022,3,54
"Victoria, Texas",89269,49676,41138,4,73
"Vigo, Indiana",108428,39534,207654,23,109
"Wagoner, Oklahoma",75030,56819,24808,0,64
"Walton, Georgia",84575,51347,67288,8,107
"Walworth, Wisconsin",102851,55237,168582,8,89
"Warren, Kentucky",117110,43018,163871,19,126
"Warren, NewJersey",107653,72615,88201,7,60
"Washington, RhodeIsland",125946,72163,344371,8,133
"Washington, Tennessee",125094,42104,230416,4,126
"Washington, Wisconsin",132661,66476,94417,13,87
"Wayne, NewYork",92962,54380,56385,5,60
"Wayne, NorthCarolina",124246,41751,62875,2,78
"Wayne, Ohio",114848,49261,158985,7,71
"White, Arkansas",78493,41618,37773,2,56
"Whitfield, Georgia",103359,42379,48663,6,84
"Wichita, Texas",131559,44786,97434,15,105
"Wicomico, Maryland",100647,51739,156839,7,92
"Wilkes, NorthCarolina",69306,33464,22646,5,43
"Wilson, NorthCarolina",81867,38760,67888,7,77
"Wilson, Tennessee",118961,61400,131384,6,85
"Windham, Connecticut",117599,60063,77627,11,81
"Wood, Ohio",128200,53610,160300,13,110
"Wood, WestVirginia",86701,42257,44427,14,67
"Wood, Wisconsin",74424,47182,56168,4,69
"Woodbury, Iowa",102323,45844,89130,14,104
"Wright, Minnesota",127336,69674,979641,10,76
"Yamhill, Oregon",100255,53819,66286,21,52
"Yuba, California",72926,46617,36543,4,24
